fiscalyear,school,traveler_type,total_trips,total_emissions,percapita_trips,percapita_emissions
FY18-19,School of Education,Faculty,109,21.8941340896,0.0006330657807617698,0.0004604736058784325
FY18-19,School of Education,Graduate Stud,2,0.7664085576,1.161588588553706e-05,1.6118970983273444e-05
FY18-19,School of Education,Postdocs,17,2.5980356952,9.873503002706502e-05,5.464143317446361e-05
FY18-19,School of Education,Sr Staff-Admin,143,10.2528781069,0.0008305358408158998,0.00021563674238931886
FY18-19,School of Education,Sr Staff-Appt,4,1.5557247855999998,2.323177177107412e-05,3.271973209116173e-05
FY18-19,School of Education,Sr Staff-Non Ad,14,2.2847449848,8.131120119875943e-05,4.805235764785349e-05
FY18-19,School of Education,Staff-Admin,37,3.6659188517,0.0002148938888824356,7.710096529014461e-05
FY18-19,School of Education,Staff-Non Admin,6,0.5300171428000001,3.484765765661118e-05,1.114722801658693e-05
FY18-19,School of Medicine (SOM),Deans/Executive,15,2.1658296351,8.711914414152795e-05,4.555135077329232e-05
FY18-19,School of Medicine (SOM),Faculty,2030,628.9920760526,0.011790124173820117,0.01322885153363896
FY18-19,School of Medicine (SOM),Graduate Stud,57,11.8290493398,0.0003310527477378062,0.00024878650059053834
FY18-19,School of Medicine (SOM),Med Intern/Res,78,14.6411944845,0.0004530195495359454,0.0003079310463275008
FY18-19,School of Medicine (SOM),Med Students,2,0.1915120576,1.161588588553706e-05,4.027848161127308e-06
FY18-19,School of Medicine (SOM),Non-employees,100,30.9339932241,0.000580794294276853,0.000650598345009979
FY18-19,School of Medicine (SOM),Postdocs,60,9.2177159967,0.0003484765765661118,0.00019386539360695515
FY18-19,School of Medicine (SOM),Regular,4,0.3718352314000001,2.323177177107412e-05,7.82037367153658e-06
FY18-19,School of Medicine (SOM),Sr Staff-Admin,393,58.7770355171,0.0022825215765080323,0.0012361883496575501
FY18-19,School of Medicine (SOM),Sr Staff-Appt,15,9.9077350386,8.711914414152795e-05,0.000208377753632164
FY18-19,School of Medicine (SOM),Sr Staff-Non Ad,369,106.0179167505,0.0021431309458815875,0.002229750316410623
FY18-19,School of Medicine (SOM),Staff-Admin,35,6.8823788981,0.00020327800299689856,0.00014474899145406847
FY18-19,School of Medicine (SOM),Staff-Non Admin,66,13.8414999493,0.000383324234222723,0.0002911120104744346
FY18-19,School of Medicine (SOM),Trainee,4,0.322656184,2.323177177107412e-05,6.7860485323340505e-06
FY18-19,School of Nursing (SON),Faculty,242,86.287680563,0.0014055221921499843,0.0018147874334342698
FY18-19,School of Nursing (SON),Sr Staff-Admin,60,12.8455967967,0.0003484765765661118,0.0002701663492344564
FY18-19,School of Nursing (SON),Sr Staff-Non Ad,5,0.8598527097,2.903971471384265e-05,1.8084272076691833e-05
FY18-19,School of Nursing (SON),Staff-Admin,6,1.4532028728000002,3.484765765661118e-05,3.056350911950309e-05
FY18-19,School of Nursing (SON),Staff-Non Admin,2,0.0960162354,1.161588588553706e-05,2.019396700347794e-06
FY18-19,Sheridan Libraries,Deans/Executive,2,1.0725116752000001,1.161588588553706e-05,2.2556878312929205e-05
FY18-19,Sheridan Libraries,Sr Staff-Admin,17,3.2471244991,9.873503002706502e-05,6.829295557968755e-05
FY18-19,Sibley Memorial Hospital,Regular,21,2.3493956667,0.00012196680179813913,4.941207950281069e-05
FY18-19,Sibley Memorial Hospital,Regular Nurses,37,4.5231082292,0.0002148938888824356,9.512922262897254e-05
FY18-19,Suburban Hospital,Regular,6,0.8382555619000001,3.484765765661118e-05,1.7630044634608183e-05
FY18-19,U-WIDE STUDENT AFFAIRS,Deans/Executive,16,2.3828419395,9.292708708429648e-05,5.011551567326538e-05
FY18-19,U-WIDE STUDENT AFFAIRS,Sr Staff-Admin,4,0.5032395644000001,2.323177177107412e-05,1.0584046662527463e-05
FY18-19,U-WIDE STUDENT AFFAIRS,Staff-Admin,23,3.6829377031000003,0.0001335826876836762,7.745890280162582e-05
FY18-19,Unavailable,Unavailable,12046,3481.712620242,0.06996248068858972,0.07322677198897934
FY18-19,University Administration,Deans/Executive,263,71.16610258360001,0.0015274889939481235,0.0014967530453077363
FY18-19,University Administration,Sr Staff-Admin,1218,221.0914237355,0.0070740745042920695,0.004649956225701645
FY18-19,University Administration,Staff-Admin,40,6.4089651296,0.0002323177177107412,0.00013479223572390042
FY18-19,University Administration,Staff-Non Admin,154,46.867723064,0.0008944232131863536,0.0009857137692804796
FY18-19,Whiting School of Engineering,Deans/Executive,64,12.3932971005,0.0003717083483371859,0.0002606536609867917
FY18-19,Whiting School of Engineering,Faculty,444,150.1879486341,0.0025787266665892273,0.0031587267157498398
FY18-19,Whiting School of Engineering,Graduate Stud,58,19.865543188,0.00033686069068057477,0.0004178086361888731
FY18-19,Whiting School of Engineering,Postdocs,39,15.2991977674,0.0002265097747679727,0.00032177005649875644
FY18-19,Whiting School of Engineering,Sr Staff-Admin,144,24.2818076494,0.0008363437837586683,0.0005106907393463396
FY18-19,Whiting School of Engineering,Sr Staff-Non Ad,21,5.6891549631,0.00012196680179813913,0.00011965331396706079
FY18-19,Whiting School of Engineering,Staff-Admin,18,3.4682119611,0.00010454297296983354,7.294282848285981e-05
FY18-19,Whiting School of Engineering,Staff-Non Admin,12,5.325223165600001,6.969531531322237e-05,0.00011199916393752172
FY18-19,Whiting School of Engineering,Undergrad Stud,2,1.6727170900000001,1.161588588553706e-05,3.518029381269998e-05
FY19-20,555 PENN,Staff-Admin,2,0.5365460092000001,1.161588588553706e-05,1.1284541994897431e-05
FY19-20,All Children’s Hospital,Regular,32,3.0899533750000003,0.00018585417416859296,6.498735993666682e-05
FY19-20,BIOETHICS INSTITUTE,Faculty,16,3.3262344038,9.292708708429648e-05,6.99567812842726e-05
FY19-20,BOLOGNA CENTER,Deans/Executive,8,2.9207777573,4.646354354214824e-05,6.14292878800042e-05
FY19-20,BOLOGNA CENTER,Faculty,22,7.3564902909,0.00012777474474090766,0.00015472041949672236
FY19-20,BOLOGNA CENTER,Sr Staff-Admin,4,1.646037281,2.323177177107412e-05,3.461916872759265e-05
FY19-20,Bloomberg School of Public Health,Deans/Executive,10,5.5777810606,5.80794294276853e-05,0.0001173109174934186
FY19-20,Bloomberg School of Public Health,Faculty,238,72.922902248,0.0013822904203789103,0.0015337017491460193
FY19-20,Bloomberg School of Public Health,Graduate Stud,19,7.2311906461,0.00011035091591260208,0.00015208513924219294
FY19-20,Bloomberg School of Public Health,Postdocs,6,0.6893203635999999,3.484765765661118e-05,1.4497665545179056e-05
FY19-20,Bloomberg School of Public Health,Sr Staff-Admin,93,11.0078001722,0.0005401386936774733,0.00023151413147185897
FY19-20,Bloomberg School of Public Health,Sr Staff-Non Ad,168,71.007123164,0.000975734414385113,0.0014934094179094531
FY19-20,Bloomberg School of Public Health,Staff-Admin,2,0.08942126959999999,1.161588588553706e-05,1.8806925309961745e-06
FY19-20,Bloomberg School of Public Health,Staff-Non Admin,10,3.3044116534000003,5.80794294276853e-05,6.949780900769162e-05
FY19-20,CENTER FOR TALENTED YOUTH,Deans/Executive,66,32.0897301212,0.000383324234222723,0.0006749056016603886
FY19-20,CENTER FOR TALENTED YOUTH,Non-employees,81,20.0382561868,0.0004704433783642509,0.00042144110582727234
FY19-20,CENTER FOR TALENTED YOUTH,Sr Staff-Admin,213,67.87540236230001,0.0012370918468096969,0.00142754361274622
FY19-20,CENTER FOR TALENTED YOUTH,Sr Staff-Appt,2,0.1584658194,1.161588588553706e-05,3.3328254485414816e-06
FY19-20,CENTER FOR TALENTED YOUTH,Sr Staff-Non Ad,4,2.4784504053,2.323177177107412e-05,5.212633623457468e-05
FY19-20,CENTER FOR TALENTED YOUTH,Staff-Admin,24,4.869111262200001,0.00013939063062644473,0.00010240629801356453
FY19-20,CGEPI,Deans/Executive,5,1.995718124,2.903971471384265e-05,4.197359517002986e-05
FY19-20,CGEPI,Sr Staff-Admin,30,3.754687038,0.0001742382882830559,7.896792228719095e-05
FY19-20,CGEPI,Sr Staff-Non Ad,2,0.08456714500000001,1.161588588553706e-05,1.7786014298456184e-06
FY19-20,CGEPI,Staff-Admin,8,0.2690451814,4.646354354214824e-05,5.658511285099121e-06
FY19-20,Carey Business School,Deans/Executive,4,0.4793005572,2.323177177107412e-05,1.0080565642386549e-05
FY19-20,Carey Business School,Faculty,30,3.6861948471000003,0.0001742382882830559,7.752740648559923e-05
FY19-20,Carey Business School,Sr Staff-Admin,33,8.9954572382,0.0001916621171113615,0.0001891908862002807
FY19-20,Carey Business School,Staff-Admin,19,3.5181711483,0.00011035091591260208,7.399356138613855e-05
FY19-20,EMRS PROJECT,Regular,245,15.0539994414,0.0014229460209782899,0.00031661308811322856
FY19-20,HUMAN LANGUAGE TECHNOLOGY COE,Faculty,2,0.7647646096,1.161588588553706e-05,1.6084395755939095e-05
FY19-20,Homewood Student Affairs,Deans/Executive,95,11.702117192300001,0.0005517545795630103,0.0002461168858242261
FY19-20,Homewood Student Affairs,Sr Staff-Admin,157,23.8338403727,0.0009118470420146592,0.0005012691697892418
FY19-20,Homewood Student Affairs,Sr Staff-Appt,227,22.9314737344,0.0013184030480084563,0.0004822907521883478
FY19-20,Homewood Student Affairs,Sr Staff-Non Ad,30,3.4851593297,0.0001742382882830559,7.329926258057094e-05
FY19-20,Homewood Student Affairs,Staff-Admin,506,78.3130216329,0.002938819129040876,0.0016470657990382289
FY19-20,Homewood Student Affairs,Staff-Non Admin,13,1.5024329083999999,7.550325825599089e-05,3.1598906633626455e-05
FY19-20,Homewood Student Affairs,Undergrad Stud,8,2.67087012,4.646354354214824e-05,5.6173274081369754e-05
FY19-20,Howard County General Hospital,Regular,24,4.0618260884,0.00013939063062644473,8.54276171746424e-05
FY19-20,INSTITUTION WIDE FUNDS,Deans/Executive,2,0.1498790016,1.161588588553706e-05,3.1522289956648496e-06
FY19-20,INSTITUTION WIDE FUNDS,Graduate Stud,6,1.2570070964,3.484765765661118e-05,2.6437153802261252e-05
FY19-20,INSTITUTION WIDE FUNDS,Sr Staff-Admin,6,0.6723738544,3.484765765661118e-05,1.4141249522218699e-05
FY19-20,JH Bayview Medical Center,Regular,40,7.8538907763,0.0002323177177107412,0.00016518165966911252
FY19-20,JH Bayview Medical Center,Regular Nurses,6,0.7340428186000001,3.484765765661118e-05,1.5438260411059968e-05
FY19-20,JH Community Physicians,Providers,24,4.3801259212,0.00013939063062644473,9.212204368907305e-05
FY19-20,JH Community Physicians,Regular,6,0.571153487,3.484765765661118e-05,1.2012400426188097e-05
FY19-20,JH HEALTH SYSTEM CORPORATION,Intrastaff Clerical,2,0.2469360634,1.161588588553706e-05,5.193516175149204e-06
FY19-20,JH HEALTH SYSTEM CORPORATION,Regular,532,71.5697611961,0.003089825645552858,0.0015052427227748187
FY19-20,JH HEALTH SYSTEM CORPORATION,Sr Staff-Admin,15,4.0292053657,8.711914414152795e-05,8.474154382976577e-05
FY19-20,JH TECHNOLOGY VENTURES,Deans/Executive,2,0.11825336119999999,1.161588588553706e-05,2.487084047999614e-06
FY19-20,JH TECHNOLOGY VENTURES,Sr Staff-Admin,4,0.36935273020000003,2.323177177107412e-05,7.768162139695066e-06
FY19-20,JH TECHNOLOGY VENTURES,Staff-Admin,4,0.6484348472000001,2.323177177107412e-05,1.3637768502077788e-05
FY19-20,JHBMC GRANT COMPANY,Regular,8,1.0254742106,4.646354354214824e-05,2.1567594569297173e-05
FY19-20,JHHCG PHARMAQUIP,Regular,10,2.0306523064000004,5.80794294276853e-05,4.270832479543141e-05
FY19-20,JHMMC INTRASTAFF DIVISION,Regular,4,1.0944289596,2.323177177107412e-05,2.3017838812094372e-05
FY19-20,JHPEIGO,Faculty,4,2.7713675384000003,2.323177177107412e-05,5.8286918240245325e-05
FY19-20,JHPEIGO,Sr Staff-Admin,264,150.6938467237,0.001533296936890892,0.003169366676050247
FY19-20,JHPEIGO,Sr Staff-Appt,456,222.6840349691,0.0026484219819024497,0.00468345174712748
FY19-20,JHPEIGO,Sr Staff-Non Ad,347,166.5297320953,0.00201535620114068,0.003502424252545221
FY19-20,JHPEIGO,Staff-Admin,26,13.271626621900001,0.00015100651651198178,0.00027912653414146254
FY19-20,JHPEIGO,Staff-Non Admin,6,2.2979346536,3.484765765661118e-05,4.832976045939301e-05
FY19-20,JHU PRESS BOOK DIVISION,Sr Staff-Admin,18,2.6683398446,0.00010454297296983354,5.6120057770894295e-05
FY19-20,JHU PRESS MUSE,Sr Staff-Admin,18,4.6258344179,0.00010454297296983354,9.728974189569735e-05
FY19-20,JHU Press,Deans/Executive,2,0.5963935272,1.161588588553706e-05,1.2543244545249714e-05
FY19-20,JOHNS HOPKINS AT ALL CHILDRENS,Faculty,3,0.2754931579,1.742382882830559e-05,5.7941240011546405e-06
FY19-20,JOHNS HOPKINS IMAGING LLC,Regular,14,0.761477261,8.131120119875943e-05,1.601525681409163e-05
FY19-20,Johns Hopkins HealthCare,Regular,204,17.3018199383,0.0011848203603247803,0.0003638888563778735
FY19-20,Johns Hopkins Hospital,Regular,263,46.1651375,0.0015274889939481235,0.0009709371123563361
FY19-20,Johns Hopkins Hospital,Regular Nurses,50,18.410127032200002,0.0002903971471384265,0.0003871985776877106
FY19-20,Johns Hopkins Hospital,Sr Staff-Admin,13,2.4825010673000003,7.550325825599089e-05,5.221152905059114e-05
FY19-20,Johns Hopkins International,Regular,39,24.7737296419,0.0002265097747679727,0.0005210367568124964
FY19-20,Krieger School of Arts and Sciences,Deans/Executive,53,16.0165687064,0.0003078209759667321,0.00033685767684865826
FY19-20,Krieger School of Arts and Sciences,Faculty,394,111.9116472453,0.002288329519450801,0.0023537062272454513
FY19-20,Krieger School of Arts and Sciences,Graduate Stud,86,24.1875921179,0.0004994830930780936,0.0005087092147360484
FY19-20,Krieger School of Arts and Sciences,Postdocs,56,22.3699093069,0.0003252448047950377,0.0004704800271874986
FY19-20,Krieger School of Arts and Sciences,Sr Staff-Admin,154,40.7063958696,0.0008944232131863536,0.0008561298113768926
FY19-20,Krieger School of Arts and Sciences,Sr Staff-Non Ad,86,21.2105676613,0.0004994830930780936,0.00044609695609595674
FY19-20,Krieger School of Arts and Sciences,Staff-Admin,99,22.7267427856,0.0005749863513340845,0.00047798488661526583
FY19-20,Krieger School of Arts and Sciences,Student,1,0.160027059,5.80794294276853e-06,3.3656611672463236e-06
FY19-20,NANJING CENTER,Faculty,24,7.0900388509,0.00013939063062644473,0.00014911645932793075
FY19-20,NANJING CENTER,Sr Staff-Admin,27,11.5353625514,0.0001568144594547503,0.00024260973132896515
FY19-20,NANJING CENTER,Staff-Admin,5,1.5239590668000003,2.903971471384265e-05,3.20516410390427e-05
FY19-20,NITZE SCH ADV INT STUDIES-SAIS,Deans/Executive,39,9.092423095700001,0.0002265097747679727,0.00019123025518684997
FY19-20,NITZE SCH ADV INT STUDIES-SAIS,Faculty,404,130.3279532913,0.002346408948878486,0.0027410347608726664
FY19-20,NITZE SCH ADV INT STUDIES-SAIS,Graduate Stud,44,22.8986924612,0.0002555494894818153,0.0004816013021733842
FY19-20,NITZE SCH ADV INT STUDIES-SAIS,Postdocs,5,4.7805306562,2.903971471384265e-05,0.00010054328617263987
FY19-20,NITZE SCH ADV INT STUDIES-SAIS,Sr Staff-Admin,112,30.315340213200002,0.0006504896095900754,0.000637586942889628
FY19-20,NITZE SCH ADV INT STUDIES-SAIS,Staff-Admin,14,7.312746387600001,8.131120119875943e-05,0.0001538004053593596
FY19-20,NITZE SCH ADV INT STUDIES-SAIS,Staff-Non Admin,14,6.9903498468,8.131120119875943e-05,0.00014701981759747922
FY19-20,PEABODY INSTITUTE,Deans/Executive,43,12.9662580729,0.0002497415465390468,0.00027270407613036045
FY19-20,PEABODY INSTITUTE,Faculty,62,8.1747400726,0.00036009246245164887,0.00017192970605478799
FY19-20,PEABODY INSTITUTE,Sr Staff-Admin,41,5.6303532738,0.00023812566065350974,0.00011841660710334536
FY19-20,PEABODY INSTITUTE,Staff-Admin,57,6.217881528,0.0003310527477378062,0.00013077339877456495
FY19-20,PEDIATRIC PHYSICIANS SERVICES,Providers,28,3.6499179782,0.00016262240239751886,7.676443771213688e-05
FY19-20,PEDIATRIC PHYSICIANS SERVICES,Regular,4,0.5266581584000001,2.323177177107412e-05,1.1076582443100096e-05
FY19-20,SMH FOUNDATION,Regular,2,0.33722775359999996,1.161588588553706e-05,7.09251524024591e-06
FY19-20,School of Education,Deans/Executive,6,1.1022525698,3.484765765661118e-05,2.3182383615969146e-05
FY19-20,School of Education,Faculty,63,8.7099231561,0.0003659004053944174,0.0001831855832343036
FY19-20,School of Education,Postdocs,5,0.28297467750000005,2.903971471384265e-05,5.951474015252646e-06
FY19-20,School of Education,Sr Staff-Admin,117,10.6190248486,0.000679529324303918,0.00022333747673858578
FY19-20,School of Education,Sr Staff-Appt,6,0.4004579574,3.484765765661118e-05,8.42236184779202e-06
FY19-20,School of Education,Sr Staff-Non Ad,2,0.76443582,1.161588588553706e-05,1.6077480710472224e-05
FY19-20,School of Education,Staff-Admin,4,0.2851864336,2.323177177107412e-05,5.997991283417839e-06
FY19-20,School of Education,Staff-Non Admin,4,0.180559679,2.323177177107412e-05,3.79749964648642e-06
FY19-20,School of Medicine (SOM),Deans/Executive,14,2.0061471718000004,8.131120119875943e-05,4.2192937082648625e-05
FY19-20,School of Medicine (SOM),Faculty,1442,440.3481665017,0.00837505372347222,0.009261325761556926
FY19-20,School of Medicine (SOM),Graduate Stud,32,9.1802815718,0.00018585417416859296,0.00019307807931778775
FY19-20,School of Medicine (SOM),Med Intern/Res,30,5.1160336373,0.0001742382882830559,0.00010759952629877783
FY19-20,School of Medicine (SOM),Med Trainees,2,0.48450468919999995,1.161588588553706e-05,1.0190018038069355e-05
FY19-20,School of Medicine (SOM),Non-Employee,3,0.7894394512,1.742382882830559e-05,1.6603352716718297e-05
FY19-20,School of Medicine (SOM),Non-employees,29,7.8686408695,0.00016843034534028738,0.0001654918810542128
FY19-20,School of Medicine (SOM),Postdocs,57,15.5259394873,0.0003310527477378062,0.000326538848766957
FY19-20,School of Medicine (SOM),Regular,9,1.1547968908,5.227148648491677e-05,2.428748660201493e-05
FY19-20,School of Medicine (SOM),Sr Staff-Admin,225,36.6042923948,0.0013067871621229193,0.000769855087243141
FY19-20,School of Medicine (SOM),Sr Staff-Appt,35,16.8535405294,0.00020327800299689856,0.00035446072211083767
FY19-20,School of Medicine (SOM),Sr Staff-Non Ad,337,98.27910536990001,0.0019572767717129947,0.002066988986501227
FY19-20,School of Medicine (SOM),Staff-Admin,63,10.3021382681,0.0003659004053944174,0.00021667277349980208
FY19-20,School of Medicine (SOM),Staff-Non Admin,44,9.3322259942,0.0002555494894818153,0.00019627374788313553
FY19-20,School of Medicine (SOM),Volunteer,2,0.25994639340000003,1.161588588553706e-05,5.467147164356224e-06
FY19-20,School of Nursing (SON),Deans/Executive,10,1.4291847505000002,5.80794294276853e-05,3.005836416439095e-05
FY19-20,School of Nursing (SON),Faculty,206,68.7110708728,0.0011964362462103173,0.0014451192469674325
FY19-20,School of Nursing (SON),Sr Staff-Admin,53,7.9638902136,0.0003078209759667321,0.00016749514863062344
FY19-20,School of Nursing (SON),Sr Staff-Non Ad,20,1.7385132094000002,0.0001161588588553706,3.656410630918585e-05
FY19-20,School of Nursing (SON),Staff-Admin,4,0.3393094064,2.323177177107412e-05,7.136296198519034e-06
FY19-20,School of Nursing (SON),Staff-Non Admin,4,0.38510576800000007,2.323177177107412e-05,8.099477280527739e-06
FY19-20,Sheridan Libraries,Deans/Executive,8,0.4388135088,4.646354354214824e-05,9.229049108696441e-06
FY19-20,Sheridan Libraries,Sr Staff-Admin,25,3.9824215076,0.00014519857356921326,8.375759389376692e-05
FY19-20,Sibley Memorial Hospital,Providers,4,0.46524940080000005,2.323177177107412e-05,9.78504417404297e-06
FY19-20,Sibley Memorial Hospital,Regular,35,7.7681593571,0.00020327800299689856,0.00016337857142755235
FY19-20,Sibley Memorial Hospital,Regular Nurses,24,3.0553458972,0.00013939063062644473,6.425950150537615e-05
FY19-20,Suburban Hospital,Regular,18,3.3171137368,0.00010454297296983354,6.976495700822136e-05
FY19-20,U-WIDE STUDENT AFFAIRS,Deans/Executive,14,1.3625706402,8.131120119875943e-05,2.8657347826101722e-05
FY19-20,U-WIDE STUDENT AFFAIRS,Sr Staff-Admin,3,0.48606592880000005,1.742382882830559e-05,1.02228537567742e-05
FY19-20,U-WIDE STUDENT AFFAIRS,Staff-Admin,60,15.7318482158,0.0003484765765661118,0.00033086948519707167
FY19-20,Unavailable,Unavailable,9462,2941.8053067413002,0.05495475612447583,0.061871535628848576
FY19-20,University Administration,Deans/Executive,167,34.0568874776,0.0009699264714423446,0.0007162785117524151
FY19-20,University Administration,Sr Staff-Admin,819,156.16012863720002,0.0047567052701274265,0.0032843325629474617
FY19-20,University Administration,Staff-Admin,76,6.2257655237,0.0004414036636504083,0.00013093921359573358
FY19-20,University Administration,Staff-Non Admin,82,20.9723268432,0.0004762513213070195,0.0004410863168019348
FY19-20,WEST COAST NEONATOLOGY,Providers,12,1.5319201754,6.969531531322237e-05,3.22190776852617e-05
FY19-20,Whiting School of Engineering,Deans/Executive,88,15.639748474500001,0.0005110989789636306,0.0003289324595168907
FY19-20,Whiting School of Engineering,Faculty,273,77.3354315582,0.0015855684233758087,0.0016265052952555328
FY19-20,Whiting School of Engineering,Graduate Stud,52,19.3410504712,0.00030201303302396357,0.0004067775969354598
FY19-20,Whiting School of Engineering,Postdocs,40,11.1317726538,0.0002323177177107412,0.00023412149906166315
FY19-20,Whiting School of Engineering,Sr Staff-Admin,148,25.3341971306,0.0008595755555297424,0.0005328244111880082
FY19-20,Whiting School of Engineering,Sr Staff-Non Ad,5,0.6189013981,2.903971471384265e-05,1.3016626156577855e-05
FY19-20,Whiting School of Engineering,Staff-Admin,14,1.0016640860000001,8.131120119875943e-05,2.1066824185499042e-05
FY20-21,All Children’s Hospital,Regular,10,1.2609611836,5.80794294276853e-05,2.6520315473944203e-05
FY20-21,Bloomberg School of Public Health,Faculty,25,3.7376907708,0.00014519857356921326,7.861045976266138e-05
FY20-21,Bloomberg School of Public Health,Postdocs,11,1.4208208681,6.388737237045383e-05,2.988245644992689e-05
FY20-21,Bloomberg School of Public Health,Sr Staff-Non Ad,43,18.867928978200002,0.0002497415465390468,0.00039682698829258213
FY20-21,Bloomberg School of Public Health,Staff-Non Admin,1,0.049699460599999995,5.80794294276853e-06,1.0452703787708094e-06
FY20-21,CENTER FOR TALENTED YOUTH,Sr Staff-Admin,4,0.45640237640000003,2.323177177107412e-05,9.598975101382197e-06
FY20-21,CONSOLIDATED SERVICE CENTER,Regular,4,0.4392287408,2.323177177107412e-05,9.237782195628934e-06
FY20-21,EMRS PROJECT,Regular,22,2.4084722896,0.00012777474474090766,5.065456872200321e-05
FY20-21,HUMAN LANGUAGE TECHNOLOGY COE,Faculty,2,0.7568736591999999,1.161588588553706e-05,1.5918434664734218e-05
FY20-21,HUMAN LANGUAGE TECHNOLOGY COE,Sr Staff-Appt,2,0.1915120576,1.161588588553706e-05,4.027848161127308e-06
FY20-21,Homewood Student Affairs,Deans/Executive,15,2.5256779701000003,8.711914414152795e-05,5.311961813242529e-05
FY20-21,Homewood Student Affairs,Sr Staff-Admin,8,0.6656827403000001,4.646354354214824e-05,1.4000523178607123e-05
FY20-21,Homewood Student Affairs,Sr Staff-Appt,31,4.5393248463,0.00018004623122582443,9.54702876887108e-05
FY20-21,Homewood Student Affairs,Staff-Admin,68,4.1601214965999995,0.00039494012010826007,8.749494903942012e-05
FY20-21,JH Bayview Medical Center,Regular,12,1.0808982164,6.969531531322237e-05,2.2733262583319072e-05
FY20-21,JH Community Physicians,Providers,10,1.7754828369000002,5.80794294276853e-05,3.734164506058109e-05
FY20-21,JH HEALTH SYSTEM CORPORATION,Regular,49,5.4390974001000005,0.00028458920419565796,0.0001143941469572781
FY20-21,JH TECHNOLOGY VENTURES,Deans/Executive,4,1.361202339,2.323177177107412e-05,2.8628569954142355e-05
FY20-21,JHPEIGO,Sr Staff-Admin,35,19.310483094,0.00020327800299689856,0.0004061347091946646
FY20-21,JHPEIGO,Sr Staff-Appt,84,43.1194911908,0.0004878672071925565,0.0009068816108924147
FY20-21,JHPEIGO,Sr Staff-Non Ad,15,5.6116359309,8.711914414152795e-05,0.00011802294721516006
FY20-21,JHPEIGO,Staff-Non Admin,4,0.673935094,2.323177177107412e-05,1.417408524092354e-05
FY20-21,Johns Hopkins HealthCare,Regular,34,3.150288348,0.00019747006005413004,6.625631455547884e-05
FY20-21,Johns Hopkins Hospital,Regular,27,6.4330433469,0.0001568144594547503,0.00013529864458656113
FY20-21,Johns Hopkins Hospital,Regular Nurses,2,0.3871874208,1.161588588553706e-05,8.14325823880086e-06
FY20-21,Johns Hopkins International,Regular,33,21.0638149458,0.0001916621171113615,0.0004430104786037578
FY20-21,Krieger School of Arts and Sciences,Faculty,26,5.0126460013,0.00015100651651198178,0.00010542509558791538
FY20-21,Krieger School of Arts and Sciences,Graduate Stud,3,2.1465029036,1.742382882830559e-05,4.514487433045932e-05
FY20-21,Krieger School of Arts and Sciences,Sr Staff-Admin,28,1.7969867796,0.00016262240239751886,3.779391222927335e-05
FY20-21,Krieger School of Arts and Sciences,Staff-Admin,2,0.2399104852,1.161588588553706e-05,5.045755440977415e-06
FY20-21,NITZE SCH ADV INT STUDIES-SAIS,Faculty,7,3.7962508529000005,4.0655600599379715e-05,7.984208518592639e-05
FY20-21,NITZE SCH ADV INT STUDIES-SAIS,Sr Staff-Admin,1,0.3794231984,5.80794294276853e-06,7.979962468767719e-06
FY20-21,PEDIATRIC PHYSICIANS SERVICES,Providers,9,0.947508094,5.227148648491677e-05,1.992782481634796e-05
FY20-21,PEDIATRIC PHYSICIANS SERVICES,Regular,8,0.409872106,4.646354354214824e-05,8.620358577618231e-06
FY20-21,School of Education,Faculty,17,1.5413337951000001,9.873503002706502e-05,3.2417063291355445e-05
FY20-21,School of Medicine (SOM),Faculty,147,28.0824292184,0.0008537676125869739,0.0005906247486702384
FY20-21,School of Medicine (SOM),Graduate Stud,1,0.4478114352,5.80794294276853e-06,9.418291925876632e-06
FY20-21,School of Medicine (SOM),Med Intern/Res,10,1.3377221306,5.80794294276853e-05,2.8134738310265608e-05
FY20-21,School of Medicine (SOM),Non-employees,4,0.3804220492,2.323177177107412e-05,8.000970124413212e-06
FY20-21,School of Medicine (SOM),Postdocs,2,0.5076375825,1.161588588553706e-05,1.0676545011397428e-05
FY20-21,School of Medicine (SOM),Sr Staff-Admin,6,0.634904104,3.484765765661118e-05,1.3353192273302486e-05
FY20-21,School of Medicine (SOM),Sr Staff-Non Ad,22,8.8789783197,0.00012777474474090766,0.00018674112192136393
FY20-21,School of Nursing (SON),Faculty,30,5.7126612264,0.0001742382882830559,0.00012014769359304564
FY20-21,Sheridan Libraries,Deans/Executive,2,0.7943556736,1.161588588553706e-05,1.6706749847957373e-05
FY20-21,Sibley Memorial Hospital,Regular,8,1.0929478312,4.646354354214824e-05,2.2986687978162056e-05
FY20-21,Sibley Memorial Hospital,Regular Nurses,4,0.307043788,2.323177177107412e-05,6.457691345285628e-06
FY20-21,Suburban Hospital,Regular,4,1.7762834172000002,2.323177177107412e-05,3.7358482725684794e-05
FY20-21,U-WIDE STUDENT AFFAIRS,Staff-Admin,4,0.2890158345,2.323177177107412e-05,6.078530574607012e-06
FY20-21,Unavailable,Unavailable,679,250.76856347650002,0.003943593258139832,0.005274120647677471
FY20-21,University Administration,Deans/Executive,6,0.4100856016,3.484765765661118e-05,8.624848779805213e-06
FY20-21,University Administration,Sr Staff-Admin,58,9.1386753482,0.00033686069068057477,0.00019220302448667766
FY20-21,University Administration,Staff-Admin,4,0.6427103019999999,2.323177177107412e-05,1.3517370866826696e-05
