date,year,month,fiscalyear,Business Area Code,school,PersonnelArea,PersonnelAreaTotal,total_emissions_epa,total_trips
2018-09-30,2018,9,FY18-19,115.0,Krieger School of Arts and Sciences,School of Arts & Sciences,1442.0,22039.46473545,63
2018-09-30,2018,9,FY18-19,120.0,Whiting School of Engineering,Whiting School of Engineering,1068.0,23649.89009786,64
2018-09-30,2018,9,FY18-19,125.0,School of Education,School of Education,253.0,3818.90322398,28
2018-09-30,2018,9,FY18-19,126.0,Carey Business School,Carey Business School,338.0,1610.28928472,10
2018-09-30,2018,9,FY18-19,135.0,PEABODY INSTITUTE,Peabody,304.0,2880.25726833,22
2018-09-30,2018,9,FY18-19,140.0,NITZE SCH ADV INT STUDIES-SAIS,SAIS,195.0,13000.42066508,57
2018-09-30,2018,9,FY18-19,142.0,NANJING CENTER,SAIS,195.0,5047.40832691,16
2018-09-30,2018,9,FY18-19,160.0,Bloomberg School of Public Health,School of Public Health,2558.0,21019.23111591,50
2018-09-30,2018,9,FY18-19,165.0,School of Nursing (SON),School of Nursing,330.0,13069.06280206,36
2018-09-30,2018,9,FY18-19,170.0,School of Medicine (SOM),School of Medicine,11766.0,115645.58067406,322
2018-09-30,2018,9,FY18-19,215.0,CENTER FOR TALENTED YOUTH,Academic and Business Centers,794.0,8266.78941241,27
2018-09-30,2018,9,FY18-19,235.0,JHPEIGO,Academic and Business Centers,794.0,90402.3792548,168
2018-10-31,2018,10,FY18-19,101.0,University Administration,University Administration,2199.0,43971.96784865,156
2018-10-31,2018,10,FY18-19,110.0,Homewood Student Affairs,University Student Services,737.0,26374.65135784,146
2018-10-31,2018,10,FY18-19,112.0,U-WIDE STUDENT AFFAIRS,University Student Services,737.0,1034.76218385,6
2018-10-31,2018,10,FY18-19,115.0,Krieger School of Arts and Sciences,School of Arts & Sciences,1442.0,45998.68216613,142
2018-10-31,2018,10,FY18-19,120.0,Whiting School of Engineering,Whiting School of Engineering,1068.0,21167.98674138,74
2018-10-31,2018,10,FY18-19,125.0,School of Education,School of Education,253.0,2778.9564790599998,14
2018-10-31,2018,10,FY18-19,126.0,Carey Business School,Carey Business School,338.0,5373.9812425499995,23
2018-10-31,2018,10,FY18-19,130.0,Sheridan Libraries,Libraries,160.0,208.11272611,2
2018-10-31,2018,10,FY18-19,135.0,PEABODY INSTITUTE,Peabody,304.0,4870.11266807,40
2018-10-31,2018,10,FY18-19,140.0,NITZE SCH ADV INT STUDIES-SAIS,SAIS,195.0,16449.14713659,67
2018-10-31,2018,10,FY18-19,141.0,BOLOGNA CENTER,SAIS,195.0,1603.0680937999998,4
2018-10-31,2018,10,FY18-19,142.0,NANJING CENTER,SAIS,195.0,722.23248872,6
2018-10-31,2018,10,FY18-19,160.0,Bloomberg School of Public Health,School of Public Health,2558.0,23737.50600455,84
2018-10-31,2018,10,FY18-19,165.0,School of Nursing (SON),School of Nursing,330.0,3758.90202215,23
2018-10-31,2018,10,FY18-19,170.0,School of Medicine (SOM),School of Medicine,11766.0,140970.49222716,396
2018-10-31,2018,10,FY18-19,210.0,BIOETHICS INSTITUTE,Academic and Business Centers,794.0,484.35049382,2
2018-10-31,2018,10,FY18-19,211.0,HUMAN LANGUAGE TECHNOLOGY COE,Academic and Business Centers,794.0,289.99068907000003,4
2018-10-31,2018,10,FY18-19,215.0,CENTER FOR TALENTED YOUTH,Academic and Business Centers,794.0,8085.1936976199995,27
2018-10-31,2018,10,FY18-19,235.0,JHPEIGO,Academic and Business Centers,794.0,103997.40058079,204
2018-10-31,2018,10,FY18-19,251.0,JHU PRESS BOOK DIVISION,Academic and Business Centers,794.0,1179.7620643,8
2018-10-31,2018,10,FY18-19,255.0,JHU PRESS MUSE,Academic and Business Centers,794.0,801.99671114,10
2018-11-30,2018,11,FY18-19,101.0,University Administration,University Administration,2199.0,37408.64013441,155
2018-11-30,2018,11,FY18-19,110.0,Homewood Student Affairs,University Student Services,737.0,9264.19826261,53
2018-11-30,2018,11,FY18-19,115.0,Krieger School of Arts and Sciences,School of Arts & Sciences,1442.0,33038.41803565,97
2018-11-30,2018,11,FY18-19,120.0,Whiting School of Engineering,Whiting School of Engineering,1068.0,27811.08774987,74
2018-11-30,2018,11,FY18-19,125.0,School of Education,School of Education,253.0,7592.00268812,60
2018-11-30,2018,11,FY18-19,126.0,Carey Business School,Carey Business School,338.0,1643.2473080299999,9
2018-11-30,2018,11,FY18-19,130.0,Sheridan Libraries,Libraries,160.0,1298.67584622,4
2018-11-30,2018,11,FY18-19,135.0,PEABODY INSTITUTE,Peabody,304.0,4356.02012095,24
2018-11-30,2018,11,FY18-19,140.0,NITZE SCH ADV INT STUDIES-SAIS,SAIS,195.0,33613.94513637,79
2018-11-30,2018,11,FY18-19,160.0,Bloomberg School of Public Health,School of Public Health,2558.0,17170.16399781,37
2018-11-30,2018,11,FY18-19,165.0,School of Nursing (SON),School of Nursing,330.0,4689.77794011,21
2018-11-30,2018,11,FY18-19,170.0,School of Medicine (SOM),School of Medicine,11766.0,95716.59969983,284
2018-11-30,2018,11,FY18-19,210.0,BIOETHICS INSTITUTE,Academic and Business Centers,794.0,484.35049382,2
2018-11-30,2018,11,FY18-19,215.0,CENTER FOR TALENTED YOUTH,Academic and Business Centers,794.0,13330.536137340001,47
2018-11-30,2018,11,FY18-19,235.0,JHPEIGO,Academic and Business Centers,794.0,128439.30835735,211
2018-11-30,2018,11,FY18-19,251.0,JHU PRESS BOOK DIVISION,Academic and Business Centers,794.0,953.0520500599999,4
2018-11-30,2018,11,FY18-19,255.0,JHU PRESS MUSE,Academic and Business Centers,794.0,368.24444884,4
2018-12-31,2018,12,FY18-19,101.0,University Administration,University Administration,2199.0,20957.60151746,93
2018-12-31,2018,12,FY18-19,110.0,Homewood Student Affairs,University Student Services,737.0,9042.1194268,56
2018-12-31,2018,12,FY18-19,115.0,Krieger School of Arts and Sciences,School of Arts & Sciences,1442.0,18865.0527998,67
2018-12-31,2018,12,FY18-19,120.0,Whiting School of Engineering,Whiting School of Engineering,1068.0,22737.60693212,70
2018-12-31,2018,12,FY18-19,125.0,School of Education,School of Education,253.0,6738.4552014,35
2018-12-31,2018,12,FY18-19,130.0,Sheridan Libraries,Libraries,160.0,1151.9795302,2
2018-12-31,2018,12,FY18-19,135.0,PEABODY INSTITUTE,Peabody,304.0,312.15321344,3
2018-12-31,2018,12,FY18-19,140.0,NITZE SCH ADV INT STUDIES-SAIS,SAIS,195.0,9060.56702935,23
2018-12-31,2018,12,FY18-19,160.0,Bloomberg School of Public Health,School of Public Health,2558.0,10380.98355902,37
2018-12-31,2018,12,FY18-19,165.0,School of Nursing (SON),School of Nursing,330.0,3151.04285548,6
2018-12-31,2018,12,FY18-19,170.0,School of Medicine (SOM),School of Medicine,11766.0,45085.86376133,124
2018-12-31,2018,12,FY18-19,215.0,CENTER FOR TALENTED YOUTH,Academic and Business Centers,794.0,15533.20348036,51
2018-12-31,2018,12,FY18-19,235.0,JHPEIGO,Academic and Business Centers,794.0,78295.10922831,155
2018-12-31,2018,12,FY18-19,251.0,JHU PRESS BOOK DIVISION,Academic and Business Centers,794.0,143.55292072,2
2019-01-31,2019,1,FY18-19,101.0,University Administration,University Administration,2199.0,28835.86636511,117
2019-01-31,2019,1,FY18-19,110.0,Homewood Student Affairs,University Student Services,737.0,8591.33930602,49
2019-01-31,2019,1,FY18-19,112.0,U-WIDE STUDENT AFFAIRS,University Student Services,737.0,1281.47108674,2
2019-01-31,2019,1,FY18-19,115.0,Krieger School of Arts and Sciences,School of Arts & Sciences,1442.0,29161.52756,91
2019-01-31,2019,1,FY18-19,120.0,Whiting School of Engineering,Whiting School of Engineering,1068.0,16563.9604434,44
2019-01-31,2019,1,FY18-19,125.0,School of Education,School of Education,253.0,8240.40847883,43
2019-01-31,2019,1,FY18-19,126.0,Carey Business School,Carey Business School,338.0,6388.05961322,14
2019-01-31,2019,1,FY18-19,135.0,PEABODY INSTITUTE,Peabody,304.0,5259.0908252,28
2019-01-31,2019,1,FY18-19,140.0,NITZE SCH ADV INT STUDIES-SAIS,SAIS,195.0,74128.8767007,149
2019-01-31,2019,1,FY18-19,142.0,NANJING CENTER,SAIS,195.0,2802.1123707799998,4
2019-01-31,2019,1,FY18-19,160.0,Bloomberg School of Public Health,School of Public Health,2558.0,10960.90143423,30
2019-01-31,2019,1,FY18-19,165.0,School of Nursing (SON),School of Nursing,330.0,7295.66170548,12
2019-01-31,2019,1,FY18-19,170.0,School of Medicine (SOM),School of Medicine,11766.0,57038.4361021,181
2019-01-31,2019,1,FY18-19,215.0,CENTER FOR TALENTED YOUTH,Academic and Business Centers,794.0,6503.84360764,17
2019-01-31,2019,1,FY18-19,235.0,JHPEIGO,Academic and Business Centers,794.0,40679.86683039,63
2019-01-31,2019,1,FY18-19,251.0,JHU PRESS BOOK DIVISION,Academic and Business Centers,794.0,143.55292072,2
2019-02-28,2019,2,FY18-19,101.0,University Administration,University Administration,2199.0,39211.6200038,152
2019-02-28,2019,2,FY18-19,110.0,Homewood Student Affairs,University Student Services,737.0,9006.78457924,54
2019-02-28,2019,2,FY18-19,112.0,U-WIDE STUDENT AFFAIRS,University Student Services,737.0,944.81934812,4
2019-02-28,2019,2,FY18-19,115.0,Krieger School of Arts and Sciences,School of Arts & Sciences,1442.0,15847.21642253,62
2019-02-28,2019,2,FY18-19,120.0,Whiting School of Engineering,Whiting School of Engineering,1068.0,17377.24706921,47
2019-02-28,2019,2,FY18-19,125.0,School of Education,School of Education,253.0,4693.85573573,23
2019-02-28,2019,2,FY18-19,126.0,Carey Business School,Carey Business School,338.0,1097.78884694,5
2019-02-28,2019,2,FY18-19,135.0,PEABODY INSTITUTE,Peabody,304.0,841.64975819,6
2019-02-28,2019,2,FY18-19,140.0,NITZE SCH ADV INT STUDIES-SAIS,SAIS,195.0,20361.98934538,58
2019-02-28,2019,2,FY18-19,142.0,NANJING CENTER,SAIS,195.0,2802.1123707799998,4
2019-02-28,2019,2,FY18-19,160.0,Bloomberg School of Public Health,School of Public Health,2558.0,34409.3829016,101
2019-02-28,2019,2,FY18-19,165.0,School of Nursing (SON),School of Nursing,330.0,1775.7461821299999,9
2019-02-28,2019,2,FY18-19,170.0,School of Medicine (SOM),School of Medicine,11766.0,49160.969576899995,192
2019-02-28,2019,2,FY18-19,215.0,CENTER FOR TALENTED YOUTH,Academic and Business Centers,794.0,3864.32596629,14
2019-02-28,2019,2,FY18-19,235.0,JHPEIGO,Academic and Business Centers,794.0,106823.22676203,198
2019-02-28,2019,2,FY18-19,251.0,JHU PRESS BOOK DIVISION,Academic and Business Centers,794.0,310.51120896,4
2019-02-28,2019,2,FY18-19,255.0,JHU PRESS MUSE,Academic and Business Centers,794.0,723.77016695,4
2019-03-31,2019,3,FY18-19,101.0,University Administration,University Administration,2199.0,40005.87389288,153
2019-03-31,2019,3,FY18-19,110.0,Homewood Student Affairs,University Student Services,737.0,21153.35838659,133
2019-03-31,2019,3,FY18-19,112.0,U-WIDE STUDENT AFFAIRS,University Student Services,737.0,2625.8191511,12
2019-03-31,2019,3,FY18-19,115.0,Krieger School of Arts and Sciences,School of Arts & Sciences,1442.0,25729.54318366,99
2019-03-31,2019,3,FY18-19,120.0,Whiting School of Engineering,Whiting School of Engineering,1068.0,17804.5946069,76
2019-03-31,2019,3,FY18-19,125.0,School of Education,School of Education,253.0,4665.67404031,18
2019-03-31,2019,3,FY18-19,126.0,Carey Business School,Carey Business School,338.0,28822.4173506,34
2019-03-31,2019,3,FY18-19,135.0,PEABODY INSTITUTE,Peabody,304.0,2114.95618187,20
2019-03-31,2019,3,FY18-19,140.0,NITZE SCH ADV INT STUDIES-SAIS,SAIS,195.0,50506.82356799,120
2019-03-31,2019,3,FY18-19,160.0,Bloomberg School of Public Health,School of Public Health,2558.0,23339.40610448,59
2019-03-31,2019,3,FY18-19,165.0,School of Nursing (SON),School of Nursing,330.0,8440.08892231,23
2019-03-31,2019,3,FY18-19,170.0,School of Medicine (SOM),School of Medicine,11766.0,117650.18236238,326
2019-03-31,2019,3,FY18-19,215.0,CENTER FOR TALENTED YOUTH,Academic and Business Centers,794.0,34877.35871001,85
2019-03-31,2019,3,FY18-19,235.0,JHPEIGO,Academic and Business Centers,794.0,95835.50440947,176
2019-03-31,2019,3,FY18-19,251.0,JHU PRESS BOOK DIVISION,Academic and Business Centers,794.0,657.36424052,2
2019-04-30,2019,4,FY18-19,101.0,University Administration,University Administration,2199.0,34825.75803925,153
2019-04-30,2019,4,FY18-19,110.0,Homewood Student Affairs,University Student Services,737.0,22404.33445684,85
2019-04-30,2019,4,FY18-19,112.0,U-WIDE STUDENT AFFAIRS,University Student Services,737.0,1254.31451011,7
2019-04-30,2019,4,FY18-19,115.0,Krieger School of Arts and Sciences,School of Arts & Sciences,1442.0,19220.65109273,80
2019-04-30,2019,4,FY18-19,120.0,Whiting School of Engineering,Whiting School of Engineering,1068.0,15080.79496288,64
2019-04-30,2019,4,FY18-19,125.0,School of Education,School of Education,253.0,3794.56799205,31
2019-04-30,2019,4,FY18-19,126.0,Carey Business School,Carey Business School,338.0,1780.36828865,8
2019-04-30,2019,4,FY18-19,140.0,NITZE SCH ADV INT STUDIES-SAIS,SAIS,195.0,25424.969499079998,93
2019-04-30,2019,4,FY18-19,142.0,NANJING CENTER,SAIS,195.0,155.25560448,2
2019-04-30,2019,4,FY18-19,160.0,Bloomberg School of Public Health,School of Public Health,2558.0,23400.91323298,88
2019-04-30,2019,4,FY18-19,165.0,School of Nursing (SON),School of Nursing,330.0,3338.73031609,20
2019-04-30,2019,4,FY18-19,170.0,School of Medicine (SOM),School of Medicine,11766.0,67606.48116425,282
2019-04-30,2019,4,FY18-19,212.0,CGEPI,Academic and Business Centers,794.0,891.05050578,3
2019-04-30,2019,4,FY18-19,215.0,CENTER FOR TALENTED YOUTH,Academic and Business Centers,794.0,23136.16496062,61
2019-04-30,2019,4,FY18-19,235.0,JHPEIGO,Academic and Business Centers,794.0,87586.97662694,161
2019-04-30,2019,4,FY18-19,251.0,JHU PRESS BOOK DIVISION,Academic and Business Centers,794.0,143.55292072,2
2019-04-30,2019,4,FY18-19,255.0,JHU PRESS MUSE,Academic and Business Centers,794.0,100.25299084,1
2019-05-31,2019,5,FY18-19,101.0,University Administration,University Administration,2199.0,28007.15759782,150
2019-05-31,2019,5,FY18-19,110.0,Homewood Student Affairs,University Student Services,737.0,27650.18492019,134
2019-05-31,2019,5,FY18-19,115.0,Krieger School of Arts and Sciences,School of Arts & Sciences,1442.0,30048.699850869998,90
2019-05-31,2019,5,FY18-19,120.0,Whiting School of Engineering,Whiting School of Engineering,1068.0,30521.26601425,90
2019-05-31,2019,5,FY18-19,125.0,School of Education,School of Education,253.0,3782.8199491,22
2019-05-31,2019,5,FY18-19,126.0,Carey Business School,Carey Business School,338.0,2500.5822912099998,11
2019-05-31,2019,5,FY18-19,130.0,Sheridan Libraries,Libraries,160.0,1633.04147916,8
2019-05-31,2019,5,FY18-19,135.0,PEABODY INSTITUTE,Peabody,304.0,610.00919462,6
2019-05-31,2019,5,FY18-19,140.0,NITZE SCH ADV INT STUDIES-SAIS,SAIS,195.0,26102.95858572,85
2019-05-31,2019,5,FY18-19,141.0,BOLOGNA CENTER,SAIS,195.0,232.92876596000002,4
2019-05-31,2019,5,FY18-19,160.0,Bloomberg School of Public Health,School of Public Health,2558.0,12106.08161451,46
2019-05-31,2019,5,FY18-19,165.0,School of Nursing (SON),School of Nursing,330.0,4323.87856396,9
2019-05-31,2019,5,FY18-19,170.0,School of Medicine (SOM),School of Medicine,11766.0,80966.47359172,355
2019-05-31,2019,5,FY18-19,211.0,HUMAN LANGUAGE TECHNOLOGY COE,Academic and Business Centers,794.0,1281.47108674,2
2019-05-31,2019,5,FY18-19,212.0,CGEPI,Academic and Business Centers,794.0,476.49427356999996,2
2019-05-31,2019,5,FY18-19,215.0,CENTER FOR TALENTED YOUTH,Academic and Business Centers,794.0,11727.45443579,39
2019-05-31,2019,5,FY18-19,235.0,JHPEIGO,Academic and Business Centers,794.0,81951.63091119,160
2019-05-31,2019,5,FY18-19,251.0,JHU PRESS BOOK DIVISION,Academic and Business Centers,794.0,143.55292072,2
2019-05-31,2019,5,FY18-19,255.0,JHU PRESS MUSE,Academic and Business Centers,794.0,100.25299084,1
2019-06-30,2019,6,FY18-19,101.0,University Administration,University Administration,2199.0,52585.53318178,196
2019-06-30,2019,6,FY18-19,110.0,Homewood Student Affairs,University Student Services,737.0,24883.92449207,151
2019-06-30,2019,6,FY18-19,112.0,U-WIDE STUDENT AFFAIRS,University Student Services,737.0,1002.48001318,6
2019-06-30,2019,6,FY18-19,115.0,Krieger School of Arts and Sciences,School of Arts & Sciences,1442.0,48907.78791069,167
2019-06-30,2019,6,FY18-19,120.0,Whiting School of Engineering,Whiting School of Engineering,1068.0,39485.14528893,99
2019-06-30,2019,6,FY18-19,125.0,School of Education,School of Education,253.0,9123.59822844,46
2019-06-30,2019,6,FY18-19,126.0,Carey Business School,Carey Business School,338.0,2526.12407889,9
2019-06-30,2019,6,FY18-19,130.0,Sheridan Libraries,Libraries,160.0,1267.3190040499999,2
2019-06-30,2019,6,FY18-19,135.0,PEABODY INSTITUTE,Peabody,304.0,23494.861289480003,42
2019-06-30,2019,6,FY18-19,140.0,NITZE SCH ADV INT STUDIES-SAIS,SAIS,195.0,28689.80507826,83
2019-06-30,2019,6,FY18-19,142.0,NANJING CENTER,SAIS,195.0,4176.04826691,9
2019-06-30,2019,6,FY18-19,160.0,Bloomberg School of Public Health,School of Public Health,2558.0,30104.91355619,102
2019-06-30,2019,6,FY18-19,165.0,School of Nursing (SON),School of Nursing,330.0,5941.87891931,28
2019-06-30,2019,6,FY18-19,170.0,School of Medicine (SOM),School of Medicine,11766.0,73229.36669684,275
2019-06-30,2019,6,FY18-19,212.0,CGEPI,Academic and Business Centers,794.0,668.63601151,3
2019-06-30,2019,6,FY18-19,215.0,CENTER FOR TALENTED YOUTH,Academic and Business Centers,794.0,23273.30862086,55
2019-06-30,2019,6,FY18-19,235.0,JHPEIGO,Academic and Business Centers,794.0,99186.38192989,188
2019-06-30,2019,6,FY18-19,251.0,JHU PRESS BOOK DIVISION,Academic and Business Centers,794.0,1382.33189139,7
2019-07-31,2019,7,FY19-20,101.0,University Administration,University Administration,2199.0,23855.89815532,102
2019-07-31,2019,7,FY19-20,110.0,Homewood Student Affairs,University Student Services,737.0,20849.37437236,118
2019-07-31,2019,7,FY19-20,112.0,U-WIDE STUDENT AFFAIRS,University Student Services,737.0,2399.59448066,9
2019-07-31,2019,7,FY19-20,115.0,Krieger School of Arts and Sciences,School of Arts & Sciences,1442.0,44251.20386189,147
2019-07-31,2019,7,FY19-20,120.0,Whiting School of Engineering,Whiting School of Engineering,1068.0,18458.83359582,58
2019-07-31,2019,7,FY19-20,125.0,School of Education,School of Education,253.0,5898.91918374,31
2019-07-31,2019,7,FY19-20,126.0,Carey Business School,Carey Business School,338.0,1788.52387987,11
2019-07-31,2019,7,FY19-20,130.0,Sheridan Libraries,Libraries,160.0,829.5025539000001,3
2019-07-31,2019,7,FY19-20,135.0,PEABODY INSTITUTE,Peabody,304.0,5970.273803190001,20
2019-07-31,2019,7,FY19-20,140.0,NITZE SCH ADV INT STUDIES-SAIS,SAIS,195.0,21437.47505427,56
2019-07-31,2019,7,FY19-20,141.0,BOLOGNA CENTER,SAIS,195.0,797.4743949799999,2
2019-07-31,2019,7,FY19-20,142.0,NANJING CENTER,SAIS,195.0,5310.03832281,7
2019-07-31,2019,7,FY19-20,160.0,Bloomberg School of Public Health,School of Public Health,2558.0,18104.11073624,48
2019-07-31,2019,7,FY19-20,165.0,School of Nursing (SON),School of Nursing,330.0,18229.61067968,67
2019-07-31,2019,7,FY19-20,170.0,School of Medicine (SOM),School of Medicine,11766.0,98850.20192739,247
2019-07-31,2019,7,FY19-20,210.0,BIOETHICS INSTITUTE,Academic and Business Centers,794.0,254.33832696,4
2019-07-31,2019,7,FY19-20,212.0,CGEPI,Academic and Business Centers,794.0,224.30143864,2
2019-07-31,2019,7,FY19-20,215.0,CENTER FOR TALENTED YOUTH,Academic and Business Centers,794.0,14504.24274322,42
2019-07-31,2019,7,FY19-20,235.0,JHPEIGO,Academic and Business Centers,794.0,97583.82639549,205
2019-07-31,2019,7,FY19-20,251.0,JHU PRESS BOOK DIVISION,Academic and Business Centers,794.0,819.90453884,3
2019-08-31,2019,8,FY19-20,101.0,University Administration,University Administration,2199.0,9393.04118208,50
2019-08-31,2019,8,FY19-20,110.0,Homewood Student Affairs,University Student Services,737.0,17064.327284580002,64
2019-08-31,2019,8,FY19-20,112.0,U-WIDE STUDENT AFFAIRS,University Student Services,737.0,866.81506418,2
2019-08-31,2019,8,FY19-20,115.0,Krieger School of Arts and Sciences,School of Arts & Sciences,1442.0,21464.87657084,62
2019-08-31,2019,8,FY19-20,120.0,Whiting School of Engineering,Whiting School of Engineering,1068.0,17054.63401511,55
2019-08-31,2019,8,FY19-20,125.0,School of Education,School of Education,253.0,3393.02532563,17
2019-08-31,2019,8,FY19-20,126.0,Carey Business School,Carey Business School,338.0,999.93989581,9
2019-08-31,2019,8,FY19-20,130.0,Sheridan Libraries,Libraries,160.0,560.42247415,1
2019-08-31,2019,8,FY19-20,135.0,PEABODY INSTITUTE,Peabody,304.0,511.95159098,2
2019-08-31,2019,8,FY19-20,140.0,NITZE SCH ADV INT STUDIES-SAIS,SAIS,195.0,12630.2892719,31
2019-08-31,2019,8,FY19-20,141.0,BOLOGNA CENTER,SAIS,195.0,797.4743949799999,2
2019-08-31,2019,8,FY19-20,142.0,NANJING CENTER,SAIS,195.0,2982.11597624,8
2019-08-31,2019,8,FY19-20,160.0,Bloomberg School of Public Health,School of Public Health,2558.0,9962.49468081,32
2019-08-31,2019,8,FY19-20,165.0,School of Nursing (SON),School of Nursing,330.0,7830.55599969,16
2019-08-31,2019,8,FY19-20,170.0,School of Medicine (SOM),School of Medicine,11766.0,67100.9569774,221
2019-08-31,2019,8,FY19-20,212.0,CGEPI,Academic and Business Centers,794.0,387.73077808,8
2019-08-31,2019,8,FY19-20,215.0,CENTER FOR TALENTED YOUTH,Academic and Business Centers,794.0,10158.72782213,34
2019-08-31,2019,8,FY19-20,235.0,JHPEIGO,Academic and Business Centers,794.0,67452.17810373,124
2019-08-31,2019,8,FY19-20,251.0,JHU PRESS BOOK DIVISION,Academic and Business Centers,794.0,114.10116661,1
2019-08-31,2019,8,FY19-20,255.0,JHU PRESS MUSE,Academic and Business Centers,794.0,1736.0160243700002,3
2019-09-30,2019,9,FY19-20,101.0,University Administration,University Administration,2199.0,29317.73570841,154
2019-09-30,2019,9,FY19-20,110.0,Homewood Student Affairs,University Student Services,737.0,40881.13484745,238
2019-09-30,2019,9,FY19-20,112.0,U-WIDE STUDENT AFFAIRS,University Student Services,737.0,1472.87800498,4
2019-09-30,2019,9,FY19-20,115.0,Krieger School of Arts and Sciences,School of Arts & Sciences,1442.0,33340.11594439,90
2019-09-30,2019,9,FY19-20,120.0,Whiting School of Engineering,Whiting School of Engineering,1068.0,24576.60203764,87
2019-09-30,2019,9,FY19-20,125.0,School of Education,School of Education,253.0,2494.60394345,13
2019-09-30,2019,9,FY19-20,126.0,Carey Business School,Carey Business School,338.0,855.09877267,4
2019-09-30,2019,9,FY19-20,135.0,PEABODY INSTITUTE,Peabody,304.0,8822.11804398,64
2019-09-30,2019,9,FY19-20,140.0,NITZE SCH ADV INT STUDIES-SAIS,SAIS,195.0,27714.49978551,87
2019-09-30,2019,9,FY19-20,142.0,NANJING CENTER,SAIS,195.0,2501.9838916599997,10
2019-09-30,2019,9,FY19-20,160.0,Bloomberg School of Public Health,School of Public Health,2558.0,36201.12728739,90
2019-09-30,2019,9,FY19-20,165.0,School of Nursing (SON),School of Nursing,330.0,10693.48603858,29
2019-09-30,2019,9,FY19-20,170.0,School of Medicine (SOM),School of Medicine,11766.0,101663.19597957,297
2019-09-30,2019,9,FY19-20,212.0,CGEPI,Academic and Business Centers,794.0,746.19577488,4
2019-09-30,2019,9,FY19-20,215.0,CENTER FOR TALENTED YOUTH,Academic and Business Centers,794.0,12431.2982889,39
2019-09-30,2019,9,FY19-20,235.0,JHPEIGO,Academic and Business Centers,794.0,89542.56765718,165
2019-09-30,2019,9,FY19-20,251.0,JHU PRESS BOOK DIVISION,Academic and Business Centers,794.0,650.64200124,3
2019-09-30,2019,9,FY19-20,255.0,JHU PRESS MUSE,Academic and Business Centers,794.0,1995.53437646,5
2019-10-31,2019,10,FY19-20,101.0,University Administration,University Administration,2199.0,47791.637643789996,205
2019-10-31,2019,10,FY19-20,110.0,Homewood Student Affairs,University Student Services,737.0,43866.35339567,237
2019-10-31,2019,10,FY19-20,112.0,U-WIDE STUDENT AFFAIRS,University Student Services,737.0,2038.7027646,16
2019-10-31,2019,10,FY19-20,115.0,Krieger School of Arts and Sciences,School of Arts & Sciences,1442.0,47065.59497878,179
2019-10-31,2019,10,FY19-20,120.0,Whiting School of Engineering,Whiting School of Engineering,1068.0,30058.08014146,91
2019-10-31,2019,10,FY19-20,125.0,School of Education,School of Education,253.0,3869.93236828,38
2019-10-31,2019,10,FY19-20,126.0,Carey Business School,Carey Business School,338.0,4202.8737211299995,19
2019-10-31,2019,10,FY19-20,130.0,Sheridan Libraries,Libraries,160.0,2395.14473932,16
2019-10-31,2019,10,FY19-20,135.0,PEABODY INSTITUTE,Peabody,304.0,4631.7816166699995,32
2019-10-31,2019,10,FY19-20,140.0,NITZE SCH ADV INT STUDIES-SAIS,SAIS,195.0,22961.05561701,81
2019-10-31,2019,10,FY19-20,141.0,BOLOGNA CENTER,SAIS,195.0,1673.35223519,5
2019-10-31,2019,10,FY19-20,142.0,NANJING CENTER,SAIS,195.0,671.0944822700001,7
2019-10-31,2019,10,FY19-20,160.0,Bloomberg School of Public Health,School of Public Health,2558.0,19595.78561004,74
2019-10-31,2019,10,FY19-20,165.0,School of Nursing (SON),School of Nursing,330.0,7054.9855814,31
2019-10-31,2019,10,FY19-20,170.0,School of Medicine (SOM),School of Medicine,11766.0,102689.93411432,379
2019-10-31,2019,10,FY19-20,210.0,BIOETHICS INSTITUTE,Academic and Business Centers,794.0,1868.26542264,8
2019-10-31,2019,10,FY19-20,212.0,CGEPI,Academic and Business Centers,794.0,2321.05949366,12
2019-10-31,2019,10,FY19-20,215.0,CENTER FOR TALENTED YOUTH,Academic and Business Centers,794.0,40403.00764119,86
2019-10-31,2019,10,FY19-20,235.0,JHPEIGO,Academic and Business Centers,794.0,65997.00834576,109
2019-10-31,2019,10,FY19-20,251.0,JHU PRESS BOOK DIVISION,Academic and Business Centers,794.0,631.3643245000001,3
2019-10-31,2019,10,FY19-20,255.0,JHU PRESS MUSE,Academic and Business Centers,794.0,317.92290868,2
2019-11-30,2019,11,FY19-20,101.0,University Administration,University Administration,2199.0,40588.61311264,168
2019-11-30,2019,11,FY19-20,110.0,Homewood Student Affairs,University Student Services,737.0,15541.073308359999,98
2019-11-30,2019,11,FY19-20,112.0,U-WIDE STUDENT AFFAIRS,University Student Services,737.0,1059.67801403,6
2019-11-30,2019,11,FY19-20,115.0,Krieger School of Arts and Sciences,School of Arts & Sciences,1442.0,57272.33555577,156
2019-11-30,2019,11,FY19-20,120.0,Whiting School of Engineering,Whiting School of Engineering,1068.0,25565.81447325,85
2019-11-30,2019,11,FY19-20,125.0,School of Education,School of Education,253.0,1573.33964834,14
2019-11-30,2019,11,FY19-20,126.0,Carey Business School,Carey Business School,338.0,1577.83474898,9
2019-11-30,2019,11,FY19-20,130.0,Sheridan Libraries,Libraries,160.0,84.62219696,2
2019-11-30,2019,11,FY19-20,135.0,PEABODY INSTITUTE,Peabody,304.0,15740.7673596,47
